Level	Rule Name	Subject	Property	Value
ERROR	missing_label	obo:OBI_1110109	rdfs:label		
ERROR	missing_label	urn:swrl#eff	rdfs:label		
ERROR	missing_label	obo:OBI_0000908	rdfs:label		
ERROR	missing_label	urn:swrl#in	rdfs:label		
ERROR	missing_label	obo:BFO_0000123	rdfs:label		
ERROR	missing_label	obo:OBI_0600036	rdfs:label		
ERROR	missing_label	obo:BFO_0000124	rdfs:label		
ERROR	missing_label	obo:BFO_0000158	rdfs:label		
ERROR	missing_label	obo:BFO_0000159	rdfs:label		
ERROR	missing_label	obo:OBI_0000124	rdfs:label		
ERROR	missing_label	obo:OBI_0000921	rdfs:label		
ERROR	missing_label	dc11:identifier	rdfs:label		
ERROR	missing_label	obo:OBI_0000914	rdfs:label		
ERROR	missing_label	obo:OGMS_0000056	rdfs:label		
ERROR	missing_label	obo:OBI_0000915	rdfs:label		
ERROR	missing_label	obo:OBI_0000917	rdfs:label		
ERROR	missing_label	http://purl.org/spar/cito/citesAsAuthority	rdfs:label		
ERROR	missing_label	obo:OBI_0600005	rdfs:label		
ERROR	missing_label	obo:BFO_0000154	rdfs:label		
ERROR	missing_label	obo:BFO_0000156	rdfs:label		
ERROR	missing_label	obo:OBI_0600004	rdfs:label		
ERROR	missing_label	obo:BFO_0000157	rdfs:label		
ERROR	missing_label	obo:BFO_0000151	rdfs:label		
ERROR	missing_label	http://protege.stanford.edu/plugins/owl/protege#defaultLanguage	rdfs:label		
ERROR	missing_label	obo:BFO_0000152	rdfs:label		
ERROR	missing_label	obo:BFO_0000153	rdfs:label		
ERROR	missing_label	obo:OBI_0000370	rdfs:label		
ERROR	missing_label	obo:OBI_0000372	rdfs:label		
ERROR	missing_label	obo:OBI_0000257	rdfs:label		
ERROR	missing_label	obo:OBI_0000378	rdfs:label		
ERROR	missing_label	dc11:type	rdfs:label		
ERROR	missing_label	obo:OBI_0000014	rdfs:label		
ERROR	missing_label	obo:OBI_0000017	rdfs:label		
ERROR	missing_label	obo:OBI_0001468	rdfs:label		
ERROR	missing_label	urn:swrl#mf2	rdfs:label		
ERROR	missing_label	obo:OBI_0000379	rdfs:label		
ERROR	missing_label	obo:OBI_0000932	rdfs:label		
ERROR	missing_label	obo:OBI_0302716	rdfs:label		
